geo,year,month,nights_spent,lag_1m,lag_12m
AL,2011,1,547.0,547.0,547.0
AL,2011,2,547.0,547.0,547.0
AL,2011,3,547.0,547.0,547.0
AL,2011,4,547.0,547.0,547.0
AL,2011,5,547.0,547.0,547.0
AL,2011,6,547.0,547.0,547.0
AL,2011,7,547.0,547.0,547.0
AL,2011,8,547.0,547.0,547.0
AL,2011,9,547.0,547.0,547.0
AL,2011,10,547.0,547.0,547.0
AL,2011,11,547.0,547.0,547.0
AL,2011,12,547.0,547.0,547.0
AL,2012,1,547.0,547.0,547.0
AL,2012,2,547.0,547.0,547.0
AL,2012,3,547.0,547.0,547.0
AL,2012,4,547.0,547.0,547.0
AL,2012,5,547.0,547.0,547.0
AL,2012,6,547.0,547.0,547.0
AL,2012,7,547.0,547.0,547.0
AL,2012,8,547.0,547.0,547.0
AL,2012,9,547.0,547.0,547.0
AL,2012,10,547.0,547.0,547.0
AL,2012,11,547.0,547.0,547.0
AL,2012,12,547.0,547.0,547.0
AL,2013,1,547.0,547.0,547.0
AL,2013,2,547.0,547.0,547.0
AL,2013,3,547.0,547.0,547.0
AL,2013,4,547.0,547.0,547.0
AL,2013,5,547.0,547.0,547.0
AL,2013,6,547.0,547.0,547.0
AL,2013,7,547.0,547.0,547.0
AL,2013,8,547.0,547.0,547.0
AL,2013,9,547.0,547.0,547.0
AL,2013,10,547.0,547.0,547.0
AL,2013,11,547.0,547.0,547.0
AL,2013,12,547.0,547.0,547.0
AL,2014,1,547.0,547.0,547.0
AL,2014,2,547.0,547.0,547.0
AL,2014,3,547.0,547.0,547.0
AL,2014,4,547.0,547.0,547.0
AL,2014,5,547.0,547.0,547.0
AL,2014,6,547.0,547.0,547.0
AL,2014,7,547.0,547.0,547.0
AL,2014,8,547.0,547.0,547.0
AL,2014,9,547.0,547.0,547.0
AL,2014,10,547.0,547.0,547.0
AL,2014,11,547.0,547.0,547.0
AL,2014,12,547.0,547.0,547.0
AL,2015,1,547.0,547.0,547.0
AL,2015,2,547.0,547.0,547.0
AL,2015,3,547.0,547.0,547.0
AL,2015,4,547.0,547.0,547.0
AL,2015,5,547.0,547.0,547.0
AL,2015,6,547.0,547.0,547.0
AL,2015,7,547.0,547.0,547.0
AL,2015,8,547.0,547.0,547.0
AL,2015,9,547.0,547.0,547.0
AL,2015,10,547.0,547.0,547.0
AL,2015,11,547.0,547.0,547.0
AL,2015,12,547.0,547.0,547.0
AL,2016,1,547.0,547.0,547.0
AL,2016,2,547.0,547.0,547.0
AL,2016,3,547.0,547.0,547.0
AL,2016,4,547.0,547.0,547.0
AL,2016,5,547.0,547.0,547.0
AL,2016,6,547.0,547.0,547.0
AL,2016,7,547.0,547.0,547.0
AL,2016,8,547.0,547.0,547.0
AL,2016,9,547.0,547.0,547.0
AL,2016,10,547.0,547.0,547.0
AL,2016,11,547.0,547.0,547.0
AL,2016,12,547.0,547.0,547.0
AL,2017,1,547.0,547.0,547.0
AL,2017,2,547.0,547.0,547.0
AL,2017,3,547.0,547.0,547.0
AL,2017,4,547.0,547.0,547.0
AL,2017,5,547.0,547.0,547.0
AL,2017,6,547.0,547.0,547.0
AL,2017,7,8869.0,547.0,547.0
AL,2017,8,8869.0,8869.0,547.0
AL,2017,9,12071.0,8869.0,547.0
AL,2017,10,352.0,12071.0,547.0
AL,2017,11,2368.0,352.0,547.0
AL,2017,12,129.0,2368.0,547.0
AL,2018,1,64.0,129.0,547.0
AL,2018,2,56.0,64.0,547.0
AL,2018,3,64.0,56.0,547.0
AL,2018,4,52.0,64.0,547.0
AL,2018,5,123.0,52.0,547.0
AL,2018,6,2876.0,123.0,547.0
AL,2018,7,8023.0,2876.0,8869.0
AL,2018,8,8944.0,8023.0,8869.0
AL,2018,9,4618.0,8944.0,12071.0
AL,2018,10,726.0,4618.0,352.0
AL,2018,11,127.0,726.0,2368.0
AL,2018,12,70.0,127.0,129.0
AL,2019,1,180.0,70.0,64.0
AL,2019,2,297.0,180.0,56.0
AL,2019,3,580.0,297.0,64.0
AL,2019,4,515.0,580.0,52.0
AL,2019,5,273.0,515.0,123.0
AL,2019,6,1170.0,273.0,2876.0
AL,2019,7,8782.0,1170.0,8023.0
AL,2019,8,11303.0,8782.0,8944.0
AL,2019,9,2712.0,11303.0,4618.0
AL,2019,10,604.0,2712.0,726.0
AL,2019,11,362.0,604.0,127.0
AL,2019,12,2683.0,362.0,70.0
AL,2020,1,717.0,2683.0,180.0
AL,2020,2,413.0,717.0,297.0
AL,2020,3,231.0,413.0,580.0
AL,2020,4,231.0,231.0,515.0
AL,2020,5,49.0,231.0,273.0
AL,2020,6,144.0,49.0,1170.0
AL,2020,7,1734.0,144.0,8782.0
AL,2020,8,5167.0,1734.0,11303.0
AL,2020,9,2271.0,5167.0,2712.0
AL,2020,10,247.0,2271.0,604.0
AL,2020,11,247.0,247.0,362.0
AL,2020,12,247.0,247.0,2683.0
AL,2021,1,218.0,247.0,717.0
AL,2021,2,162.0,218.0,413.0
AL,2021,3,272.0,162.0,231.0
AL,2021,4,44.0,272.0,231.0
AL,2021,5,544.0,44.0,49.0
AL,2021,6,1110.0,544.0,144.0
AL,2021,7,5691.0,1110.0,1734.0
AL,2021,8,8062.0,5691.0,5167.0
AL,2021,9,1587.0,8062.0,2271.0
AL,2021,10,614.0,1587.0,247.0
AL,2021,11,526.0,614.0,247.0
AL,2021,12,316.0,526.0,247.0
AL,2022,1,148.0,316.0,218.0
AL,2022,2,146.0,148.0,162.0
AL,2022,3,136.0,146.0,272.0
AL,2022,4,200.0,136.0,44.0
AL,2022,5,1723.0,200.0,544.0
AL,2022,6,7457.0,1723.0,1110.0
AL,2022,7,10632.0,7457.0,5691.0
AL,2022,8,11934.0,10632.0,8062.0
AL,2022,9,4311.0,11934.0,1587.0
AL,2022,10,827.0,4311.0,614.0
AL,2022,11,742.0,827.0,526.0
AL,2022,12,387.0,742.0,316.0
AL,2023,1,259.0,387.0,148.0
AL,2023,2,173.0,259.0,146.0
AL,2023,3,218.0,173.0,136.0
AL,2023,4,540.0,218.0,200.0
AL,2023,5,3357.0,540.0,1723.0
AL,2023,6,8832.0,3357.0,7457.0
AL,2023,7,10234.0,8832.0,10632.0
AL,2023,8,12621.0,10234.0,11934.0
AL,2023,9,8155.0,12621.0,4311.0
AL,2023,10,1057.0,8155.0,827.0
AL,2023,11,776.0,1057.0,742.0
AL,2023,12,412.0,776.0,387.0
AL,2024,1,261.0,412.0,259.0
AL,2024,2,201.0,261.0,173.0
AL,2024,3,279.0,201.0,218.0
